recordId,sourceFile,sourceSection,chunkType,content,productIds,docType,atexZone,tempMaxC,foerderleistungM3h,werkstoffGehaeuse,ex_certified,wirkungsgradPct,druckMaxBar,antriebsleistungKW
maintenance-manual.md::wartungsintervalle::chunk-0,maintenance-manual.md,Wartungsintervalle,prose,"Die Intervalle werden in Betriebsstunden (Bh) bzw. Kalenderzeit angegeben –
maßgeblich ist der zuerst erreichte Wert.",,maintenance,,,,,,,,
maintenance-manual.md::wartungsintervalle::row-1,maintenance-manual.md,Wartungsintervalle,table-row,Modell: AL-3000 | Großinspektion: 4.000 Bh / 12 Monate | Lagerwechsel: 16.000 Bh | Ölwechsel Lagerträger: – (fettgeschmiert) | GLRD-Wechsel (geplant): 8.000 Bh,AL-3000,maintenance,,,,,,,,
maintenance-manual.md::wartungsintervalle::row-2,maintenance-manual.md,Wartungsintervalle,table-row,Modell: AL-3000-S | Großinspektion: 3.500 Bh / 12 Monate | Lagerwechsel: 14.000 Bh | Ölwechsel Lagerträger: – (fettgeschmiert) | GLRD-Wechsel (geplant): 7.000 Bh,AL-3000-S,maintenance,,,,,,,,
maintenance-manual.md::wartungsintervalle::row-3,maintenance-manual.md,Wartungsintervalle,table-row,Modell: AL-3000-SX | Großinspektion: 3.000 Bh / 12 Monate | Lagerwechsel: 12.000 Bh | Ölwechsel Lagerträger: – (fettgeschmiert) | GLRD-Wechsel (geplant): 6.000 Bh,AL-3000-SX,maintenance,,,,,,,,
maintenance-manual.md::wartungsintervalle::row-4,maintenance-manual.md,Wartungsintervalle,table-row,Modell: AL-3500 | Großinspektion: 4.000 Bh / 12 Monate | Lagerwechsel: 16.000 Bh | Ölwechsel Lagerträger: – (fettgeschmiert) | GLRD-Wechsel (geplant): 8.000 Bh,AL-3500,maintenance,,,,,,,,
maintenance-manual.md::wartungsintervalle::row-5,maintenance-manual.md,Wartungsintervalle,table-row,Modell: AL-3500-HT | Großinspektion: 2.500 Bh / 6 Monate | Lagerwechsel: 10.000 Bh | Ölwechsel Lagerträger: 2.500 Bh / 6 Monate | GLRD-Wechsel (geplant): 5.000 Bh,AL-3500-HT,maintenance,,,,,,,,
maintenance-manual.md::wartungsintervalle::row-6,maintenance-manual.md,Wartungsintervalle,table-row,Modell: AL-3500-HT-X | Großinspektion: 2.000 Bh / 6 Monate | Lagerwechsel: 8.000 Bh | Ölwechsel Lagerträger: 2.000 Bh / 6 Monate | GLRD-Wechsel (geplant): 4.000 Bh,AL-3500-HT-X,maintenance,,,,,,,,
maintenance-manual.md::wartungsintervalle::chunk-1,maintenance-manual.md,Wartungsintervalle,prose,"ATEX-zertifizierte Pumpen (-S, -SX, -HT-X) haben kürzere Großinspektions-
intervalle, weil zusätzliche Prüfungen an Temperaturüberwachung und
Erdungsverbindungen vorgeschrieben sind.

Die HT-Modelle haben deutlich kürzere Intervalle, weil die thermische Belastung
der Lager und Dichtungen höher ist und die Lagerträgerkühlung halbjährlich
geprüft werden muss.",,maintenance,,,,,,,,
maintenance-manual.md::routine-inspektion-alle-500-bh::chunk-2,maintenance-manual.md,Routine-Inspektion (alle 500 Bh),prose,"Unabhängig vom Modell:

- Sichtkontrolle auf Leckage an GLRD und Flanschdichtungen
- Vibrationsmessung am Lagergehäuse, Grenzwert 4,5 mm/s RMS (DIN ISO 10816-3)
- Sauberkeit der Lüfterhaube prüfen
- Bei ATEX-Pumpen: Erdungsklemme auf festen Sitz prüfen",,maintenance,,,,,,,,
maintenance-manual.md::ersatzteilliste-standard::chunk-3,maintenance-manual.md,Ersatzteilliste (Standard),prose,Pro Großinspektion mindestens vorzuhalten:,,maintenance,,,,,,,,
maintenance-manual.md::ersatzteilliste-standard::row-1,maintenance-manual.md,Ersatzteilliste (Standard),table-row,Position: Gleitringdichtung Set | AL-3000 / AL-3000-S: 30-100-001 | AL-3000-SX: 30-100-005 | AL-3500 / AL-3500-HT(-X): 35-100-001,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT,maintenance,,,,,,,,
maintenance-manual.md::ersatzteilliste-standard::row-2,maintenance-manual.md,Ersatzteilliste (Standard),table-row,Position: Spaltring Saug | AL-3000 / AL-3000-S: 30-200-010 | AL-3000-SX: 30-200-015 | AL-3500 / AL-3500-HT(-X): 35-200-010,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT,maintenance,,,,,,,,
