recordId,sourceFile,sourceSection,chunkType,content,productIds,docType,atexZone,tempMaxC,foerderleistungM3h,werkstoffGehaeuse,ex_certified,wirkungsgradPct,druckMaxBar,antriebsleistungKW
atex-guide.md::rechtlicher-rahmen::chunk-0,atex-guide.md,Rechtlicher Rahmen,prose,"Die Auslegung folgt der EU-Richtlinie 2014/34/EU (ATEX-Produktrichtlinie). Der
Betrieb explosionsgeschützter Geräte ist zusätzlich durch die Richtlinie
1999/92/EG (ATEX-Betriebsrichtlinie) geregelt, in Deutschland umgesetzt über
die Betriebssicherheitsverordnung (BetrSichV).",,atex,,,,,,,,
atex-guide.md::zonenkonzept-gas::row-1,atex-guide.md,Zonenkonzept (Gas),table-row,"Zone: Zone 0 | Häufigkeit explosionsfähiger Atmosphäre: dauerhaft, langzeitig oder häufig | Gerätekategorie: Kategorie 1G",,atex,,,,,,,,
atex-guide.md::zonenkonzept-gas::row-2,atex-guide.md,Zonenkonzept (Gas),table-row,Zone: Zone 1 | Häufigkeit explosionsfähiger Atmosphäre: gelegentlich im Normalbetrieb | Gerätekategorie: Kategorie 2G,,atex,,,,,,,,
atex-guide.md::zonenkonzept-gas::row-3,atex-guide.md,Zonenkonzept (Gas),table-row,"Zone: Zone 2 | Häufigkeit explosionsfähiger Atmosphäre: nicht im Normalbetrieb, nur kurzzeitig | Gerätekategorie: Kategorie 3G",,atex,,,,,,,,
atex-guide.md::zonenkonzept-gas::chunk-1,atex-guide.md,Zonenkonzept (Gas),prose,"Eine Pumpe der höheren Kategorie (z. B. 2G) darf in einer Zone niedrigerer
Anforderung (Zone 2) betrieben werden, umgekehrt nicht.",,atex,,,,,,,,
atex-guide.md::zertifizierte-modelle-der-aerolift-reihe::row-1,atex-guide.md,Zertifizierte Modelle der AeroLift-Reihe,table-row,Modell: AL-3000-S | ATEX-Zone: Zone 2 (Gas) | Gerätekennzeichnung: II 3G Ex h IIB T4 Gc | Zertifikatsnummer: BVS 21 ATEX E 042 X | Erstzertifizierung: 2021,AL-3000-S,atex,,,,,,,,
atex-guide.md::zertifizierte-modelle-der-aerolift-reihe::row-2,atex-guide.md,Zertifizierte Modelle der AeroLift-Reihe,table-row,Modell: AL-3000-SX | ATEX-Zone: Zone 1 (Gas) | Gerätekennzeichnung: II 2G Ex h IIB T3 Gb | Zertifikatsnummer: BVS 23 ATEX E 089 X | Erstzertifizierung: 2023,AL-3000-SX,atex,,,,,,,,
atex-guide.md::zertifizierte-modelle-der-aerolift-reihe::row-3,atex-guide.md,Zertifizierte Modelle der AeroLift-Reihe,table-row,Modell: AL-3500-HT-X | ATEX-Zone: Zone 1 (Gas) | Gerätekennzeichnung: II 2G Ex h IIB T3 Gb | Zertifikatsnummer: BVS 24 ATEX E 117 X | Erstzertifizierung: 2024,AL-3500-HT-X,atex,,,,,,,,
atex-guide.md::zertifizierte-modelle-der-aerolift-reihe::chunk-2,atex-guide.md,Zertifizierte Modelle der AeroLift-Reihe,prose,"Zertifizierungsstelle: DEKRA EXAM GmbH, Bochum (notifizierte Stelle 0158).

Die mit ""X"" am Ende der Zertifikatsnummer versehenen Zertifikate enthalten
besondere Bedingungen für den sicheren Einsatz – diese sind in Abschnitt 17
des jeweiligen EU-Baumusterprüfbescheinigungs-Dokuments aufgeführt und müssen
vom Betreiber eingehalten werden.",,atex,,,,,,,,
atex-guide.md::temperaturklassen::chunk-3,atex-guide.md,Temperaturklassen,prose,"Die Temperaturklassen geben die maximal zulässige Oberflächentemperatur an. Bei
unseren ATEX-Pumpen relevant:",,atex,,,,,,,,
atex-guide.md::temperaturklassen::row-1,atex-guide.md,Temperaturklassen,table-row,Temperaturklasse: T4 | Max. Oberflächentemperatur: 135 °C | Modelle: AL-3000-S,AL-3000-S,atex,,135,,,,,,
atex-guide.md::temperaturklassen::row-2,atex-guide.md,Temperaturklassen,table-row,"Temperaturklasse: T3 | Max. Oberflächentemperatur: 200 °C | Modelle: AL-3000-SX, AL-3500-HT-X",AL-3000-SX;AL-3500-HT-X,atex,,200,,,,,,
atex-guide.md::temperaturklassen::chunk-4,atex-guide.md,Temperaturklassen,prose,"Die Temperaturklasse berücksichtigt sowohl Medientemperatur als auch
Reibungswärme aus Lagern und Dichtung.",,atex,,,,,,,,
atex-guide.md::nicht-atex-zertifizierte-modelle::chunk-5,atex-guide.md,Nicht ATEX-zertifizierte Modelle,prose,"Folgende Modelle besitzen **keine** ATEX-Zertifizierung und dürfen in
explosionsgefährdeten Bereichen nicht eingesetzt werden:

- AL-3000
- AL-3500
- AL-3500-HT (auch nicht in Zone 2!)

Die AL-3500-HT verfügt zwar über High-Temperature-Auslegung bis 220 °C,
ist jedoch ausdrücklich nicht für Ex-Bereiche zugelassen. Für den Einsatz mit
Heißmedien in Ex-Zone 1 ist die Variante AL-3500-HT-X erforderlich.",AL-3000;AL-3500;AL-3500-HT;AL-3500-HT-X,atex,,,,,,,,
atex-guide.md::pflichten-des-betreibers::chunk-6,atex-guide.md,Pflichten des Betreibers,prose,"- Erstellung eines Explosionsschutzdokuments nach §6 BetrSichV
- Einbindung der Pumpe in den Potentialausgleich
- Wiederkehrende Prüfung durch befähigte Person, mindestens alle 3 Jahre
- Bei Reparaturen ausschließlich Original-Ersatzteile mit ATEX-Konformität
  verwenden – siehe `maintenance-manual.md`",,atex,,,,,,,,
atex-guide.md::zubehoer-anforderungen::chunk-7,atex-guide.md,Zubehör-Anforderungen,prose,"Saug- und druckseitig montiertes Zubehör (Rückschlagventile, Filter) muss in
Ex-Bereichen ebenfalls zertifiziert sein. AeroLift bietet zertifizierte
Zubehörpakete unter den Bestellnummern 30-ATEX-100 (für AL-3000-Reihe Zone 1/2)
und 35-ATEX-100 (für AL-3500-HT-X) an.",AL-3000;AL-3500-HT-X,atex,,,,,,,,
changelog.md::al-3000-reihe::row-1,changelog.md,AL-3000-Reihe,table-row,Datum: 2018-03 | Modell: AL-3000 | Version: 1.0 | Änderung: Markteinführung Standard-Kreiselpumpe,AL-3000,changelog,,,,,,,,
changelog.md::al-3000-reihe::row-2,changelog.md,AL-3000-Reihe,table-row,"Datum: 2019-09 | Modell: AL-3000 | Version: 1.1 | Änderung: Umstellung Lagerträger auf Lithiumkomplex-Fett, GLRD-Standard auf SiC/Kohle/EPDM",AL-3000,changelog,,,,,,,,
changelog.md::al-3000-reihe::row-3,changelog.md,AL-3000-Reihe,table-row,"Datum: 2021-05 | Modell: AL-3000-S | Version: 1.0 | Änderung: Markteinführung ATEX-Variante Zone 2, Zertifikat BVS 21 ATEX E 042 X",AL-3000-S,changelog,,,,,,,,
changelog.md::al-3000-reihe::row-4,changelog.md,AL-3000-Reihe,table-row,Datum: 2022-11 | Modell: AL-3000-S | Version: 1.1 | Änderung: Klemmenkasten auf erhöhten Schutzgrad nach EN 60079-15 angepasst,AL-3000-S,changelog,,,,,,,,
changelog.md::al-3000-reihe::row-5,changelog.md,AL-3000-Reihe,table-row,"Datum: 2023-04 | Modell: AL-3000-SX | Version: 1.0 | Änderung: Markteinführung Edelstahlvariante mit ATEX Zone 1, Medientemperatur bis 150 °C, Zertifikat BVS 23 ATEX E 089 X",AL-3000-SX,changelog,,,,,,,,
changelog.md::al-3000-reihe::row-6,changelog.md,AL-3000-Reihe,table-row,Datum: 2025-02 | Modell: AL-3000-SX | Version: 1.1 | Änderung: Welle auf Duplex 1.4462 umgestellt zur Verbesserung der Korrosionsbeständigkeit bei chloridhaltigen Medien,AL-3000-SX,changelog,,,,,,,,
changelog.md::al-3500-reihe::row-1,changelog.md,AL-3500-Reihe,table-row,Datum: 2019-06 | Modell: AL-3500 | Version: 1.0 | Änderung: Markteinführung höher fördernde Standard-Kreiselpumpe (140 m³/h),AL-3500,changelog,,,,,,,,
changelog.md::al-3500-reihe::row-2,changelog.md,AL-3500-Reihe,table-row,Datum: 2020-10 | Modell: AL-3500 | Version: 1.1 | Änderung: GLRD-Standard auf SiC/Kohle/EPDM vereinheitlicht (analog AL-3000 1.1),AL-3500,changelog,,,,,,,,
changelog.md::al-3500-reihe::row-3,changelog.md,AL-3500-Reihe,table-row,"Datum: 2022-07 | Modell: AL-3500-HT | Version: 1.0 | Änderung: Markteinführung High-Temperature-Variante mit ölgekühltem Lagerträger, Medientemperatur bis 220 °C",AL-3500-HT,changelog,,,,,,,,
changelog.md::al-3500-reihe::row-4,changelog.md,AL-3500-Reihe,table-row,Datum: 2023-12 | Modell: AL-3500-HT | Version: 1.1 | Änderung: Optionales Kühlwasser-Mengenmessgerät als Zubehör verfügbar,AL-3500-HT,changelog,,,,,,,,
changelog.md::al-3500-reihe::row-5,changelog.md,AL-3500-Reihe,table-row,"Datum: 2024-09 | Modell: AL-3500-HT-X | Version: 1.0 | Änderung: Markteinführung HT-Variante mit ATEX Zone 1, Zertifikat BVS 24 ATEX E 117 X",AL-3500-HT-X,changelog,,,,,,,,
changelog.md::end-of-life-hinweise::chunk-0,changelog.md,End-of-Life-Hinweise,prose,"Aktuell sind keine Modelle der AL-3000- oder AL-3500-Reihe abgekündigt. Die
ältere AL-2500-Reihe wurde 2020 durch die AL-3500-Reihe abgelöst und wird seit
2023-12 nicht mehr produziert; Ersatzteilversorgung ist bis 2030-12
sichergestellt.",AL-3000;AL-3500;AL-2500,changelog,,,,,,,,
changelog.md::zertifizierungs-meilensteine::chunk-1,changelog.md,Zertifizierungs-Meilensteine,prose,"- **2021-05** – Erste ATEX-Zertifizierung im Portfolio (AL-3000-S, Zone 2)
- **2023-04** – Erste ATEX-Zone-1-Zertifizierung (AL-3000-SX)
- **2024-09** – Erste Kombination aus Zone 1 und High-Temperature (AL-3500-HT-X)",AL-3000-S;AL-3000-SX;AL-3500-HT-X,changelog,,,,,,,,
compatibility-matrix.md::uebersichtsmatrix::row-1,compatibility-matrix.md,Übersichtsmatrix,table-row,"Medienklasse: Brauchwasser, Kühlwasser, neutral | AL-3000: A | AL-3000-S: A | AL-3000-SX: A | AL-3500: A | AL-3500-HT: A | AL-3500-HT-X: A",AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT;AL-3500-HT-X,compatibility,,,,,,,,
compatibility-matrix.md::uebersichtsmatrix::row-2,compatibility-matrix.md,Übersichtsmatrix,table-row,Medienklasse: Schwach saure wässrige Medien (pH 4–6) | AL-3000: B¹ | AL-3000-S: B¹ | AL-3000-SX: A | AL-3500: B¹ | AL-3500-HT: A | AL-3500-HT-X: A,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT;AL-3500-HT-X,compatibility,,,,,,,,
compatibility-matrix.md::uebersichtsmatrix::row-3,compatibility-matrix.md,Übersichtsmatrix,table-row,Medienklasse: Stark saure Medien (pH < 4) | AL-3000: N | AL-3000-S: N | AL-3000-SX: B² | AL-3500: N | AL-3500-HT: B² | AL-3500-HT-X: B²,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT;AL-3500-HT-X,compatibility,,,,,,,,
compatibility-matrix.md::uebersichtsmatrix::row-4,compatibility-matrix.md,Übersichtsmatrix,table-row,Medienklasse: Schwach alkalische Medien (pH 8–10) | AL-3000: A | AL-3000-S: A | AL-3000-SX: A | AL-3500: A | AL-3500-HT: A | AL-3500-HT-X: A,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT;AL-3500-HT-X,compatibility,,,,,,,,
compatibility-matrix.md::uebersichtsmatrix::row-5,compatibility-matrix.md,Übersichtsmatrix,table-row,Medienklasse: Stark alkalische Medien (pH > 12) | AL-3000: B¹ | AL-3000-S: B¹ | AL-3000-SX: A | AL-3500: B¹ | AL-3500-HT: A | AL-3500-HT-X: A,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT;AL-3500-HT-X,compatibility,,,,,,,,
compatibility-matrix.md::uebersichtsmatrix::row-6,compatibility-matrix.md,Übersichtsmatrix,table-row,Medienklasse: Organische Lösungsmittel (nicht halogeniert) | AL-3000: B¹ | AL-3000-S: B¹ | AL-3000-SX: A | AL-3500: B¹ | AL-3500-HT: A | AL-3500-HT-X: A,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT;AL-3500-HT-X,compatibility,,,,,,,,
compatibility-matrix.md::uebersichtsmatrix::row-7,compatibility-matrix.md,Übersichtsmatrix,table-row,Medienklasse: Halogenierte Lösungsmittel | AL-3000: N | AL-3000-S: N | AL-3000-SX: B² | AL-3500: N | AL-3500-HT: B² | AL-3500-HT-X: B²,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT;AL-3500-HT-X,compatibility,,,,,,,,
compatibility-matrix.md::uebersichtsmatrix::row-8,compatibility-matrix.md,Übersichtsmatrix,table-row,Medienklasse: Lebensmittel (FDA-Anforderung) | AL-3000: N | AL-3000-S: N | AL-3000-SX: A | AL-3500: N | AL-3500-HT: A | AL-3500-HT-X: A,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT;AL-3500-HT-X,compatibility,,,,,,,,
compatibility-matrix.md::uebersichtsmatrix::row-9,compatibility-matrix.md,Übersichtsmatrix,table-row,Medienklasse: Thermalöl bis 220 °C | AL-3000: N | AL-3000-S: N | AL-3000-SX: N | AL-3500: N | AL-3500-HT: A | AL-3500-HT-X: A,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT;AL-3500-HT-X,compatibility,,,,,,,,
compatibility-matrix.md::uebersichtsmatrix::row-10,compatibility-matrix.md,Übersichtsmatrix,table-row,Medienklasse: Heißwasser bis 150 °C | AL-3000: N | AL-3000-S: N | AL-3000-SX: A | AL-3500: N | AL-3500-HT: A | AL-3500-HT-X: A,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT;AL-3500-HT-X,compatibility,,,,,,,,
